"active","origId","typeId","origProcId","d","Ygas","rho","Yliquid","Cp","dTarget","nParticle","age","YH2O(l)","mass0","T","Ysolid","tTurb","UTurb:0","UTurb:1","UTurb:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,831,-1,8,1e-05,0,1000,1,11073,0,4.0929e+05,0.0083939,1,5.236e-13,697.79,0,0.00043965,-0.97598,0.12131,0.4676,35.741,-0.85656,1.2205,0.48237,-0.1601,-0.011821
1,1173,-1,8,1e-05,0,1000,1,11022,0,4.0919e+05,0.0077598,1,5.236e-13,697.12,0,0.0012986,0.5062,5.844,-2.6093,51.016,3.4962,0.06568,0.48704,-0.14632,-0.034334
1,2613,-1,8,1e-05,0,1000,1,10906,0,4.0902e+05,0.0049995,1,5.236e-13,695.56,0,0.00083404,0.04826,-1.4009,1.8176,41.326,-4.5865,4.6658,0.47916,-0.15498,-0.034819
1,2964,-1,8,1e-05,0,1000,1,10772,0,8.1728e+05,0.0042643,1,5.236e-13,693.74,0,0.0015509,-0.22586,0.13776,0.10498,50.564,-0.78012,1.0023,0.48824,-0.14839,-0.0084905
1,2086,-1,8,1e-05,0,1000,1,10962,0,4.0907e+05,0.0059867,1,5.236e-13,696.32,0,7.3477e-05,2.0912,2.3464,-1.5669,31.789,-11.018,-0.29439,0.42806,-0.14519,-0.04548
1,2845,-1,8,1e-05,0,1000,1,10830,0,4.0877e+05,0.0045141,1,5.236e-13,694.53,0,0.0010417,2.7051,-3.3559,-3.3251,51.988,-9.1843,-2.8356,0.46738,-0.14872,-0.023363
1,1709,-1,8,1e-05,0,1000,1,10995,0,4.0907e+05,0.0067435,1,5.236e-13,696.76,0,0.0008667,-0.93562,-1.875,1.3479,51.141,-3.8099,2.4844,0.48412,-0.1458,-0.011212
1,3042,-1,8,1e-05,0,1000,1,10730,0,4.085e+05,0.0040848,1,5.236e-13,693.17,0,0.0009293,3.4861,0.21553,-3.0285,57.347,-1.7358,-1.2918,0.48656,-0.14293,-0.020611
1,2960,-1,8,1e-05,0,1000,1,10788,0,8.1728e+05,0.0042785,1,5.236e-13,693.96,0,0.00068865,0.26601,0.040381,0.099507,53.938,-6.5159,1.9407,0.473,-0.13893,-0.046197
1,3164,-1,8,1e-05,0,1000,1,10664,0,4.0835e+05,0.0038401,1,5.236e-13,692.25,0,0.0008393,-0.2722,-0.90407,-2.05,51.963,-7.2389,0.2654,0.47499,-0.13966,-0.05098
1,1783,-1,8,1e-05,0,1000,1,10939,0,4.0907e+05,0.0065807,1,5.236e-13,696.01,0,0.00020537,-0.73479,-1.2555,-0.056341,55.548,-16.981,-0.48287,0.43277,-0.13783,-0.048674
1,471,-1,8,1e-05,0,1000,1,10980,0,4.093e+05,0.0091356,1,5.236e-13,696.55,0,3.4891e-05,-0.0034018,0.0053138,0.018999,57.359,-16.289,-3.1857,0.42192,-0.14136,-0.033994
1,198,-1,8,1e-05,0,1000,1,10888,0,8.1806e+05,0.0096453,1,5.236e-13,695.32,0,0.00055527,-0.87945,-0.52863,2.8599,10.711,2.5947,4.1174,0.59767,-0.14121,-0.026233
1,592,-1,8,1e-05,0,1000,1,10979,0,4.093e+05,0.0088675,1,5.236e-13,696.54,0,0.00051569,1.7362,-0.3215,-0.5676,11.626,0.76993,1.2169,0.55047,-0.14247,-0.059005
1,1009,-1,8,1e-05,0,1000,1,10966,0,4.0929e+05,0.0080553,1,5.236e-13,696.37,0,0.00011704,-2.2486,1.9697,-1.1342,44.474,11.483,4.171,0.58967,-0.14183,-0.026627
1,1319,-1,8,1e-05,0,1000,1,11031,0,8.1839e+05,0.0074846,1,5.236e-13,697.24,0,0.00023287,-0.40532,-0.078138,-0.26108,30.599,3.029,5.0532,0.52425,-0.14932,-0.04974
1,979,-1,8,1e-05,0,1000,1,11010,0,4.0929e+05,0.0081005,1,5.236e-13,696.96,0,7.7741e-05,0.020895,1.1147,0.61052,61.613,7.1734,9.7921,0.55758,-0.14284,-0.045969
1,1720,-1,8,1e-05,0,1000,1,10996,0,8.1814e+05,0.0067235,1,5.236e-13,696.77,0,0.00033185,-0.35318,-0.077453,-0.064183,28.001,3.3022,3.7573,0.54142,-0.15058,-0.037047
1,2335,-1,8,1e-05,0,1000,1,10930,0,8.1814e+05,0.005554,1,5.236e-13,695.88,0,0.0005806,-1.2772,0.66053,0.28071,68.831,7.8703,2.5217,0.54521,-0.14011,-0.004573
1,2327,-1,8,1e-05,0,1000,1,10949,0,4.0907e+05,0.0055656,1,5.236e-13,696.14,0,0.00069647,-0.40344,0.11915,-0.030797,65.451,6.9901,3.7224,0.53731,-0.14356,-0.017952
1,2249,-1,40,1e-05,0,1000,1,10930,0,4.0907e+05,0.0053506,1,5.236e-13,695.88,0,0.00057943,-4.4193,-2.0759,-0.81478,60.496,4.6287,0.96593,0.5347,-0.14408,-0.0028882
1,1775,-1,8,1e-05,0,1000,1,11012,0,8.1814e+05,0.0066043,1,5.236e-13,696.98,0,7.4187e-05,-3.7369,0.34903,0.12723,53.461,7.0909,1.102,0.52329,-0.15159,-0.011716
1,1816,-1,8,1e-05,0,1000,1,10992,0,4.0907e+05,0.0065129,1,5.236e-13,696.72,0,0.00060238,-0.19806,0.03137,-0.050636,63.259,5.5848,3.4037,0.53036,-0.14272,-0.018559
1,2537,-1,8,1e-05,0,1000,1,10908,0,8.1814e+05,0.0051349,1,5.236e-13,695.59,0,0.00038257,8.0489,-6.0025,1.75,66.872,0.87209,4.1151,0.52945,-0.15004,-0.0099614
1,2673,-1,8,1e-05,0,1000,1,10855,0,4.0896e+05,0.0048779,1,5.236e-13,694.87,0,0.00042496,1.388,-2.0015,-1.004,65.59,3.4074,2.9855,0.53166,-0.14192,-0.023087
1,40,-1,8,1e-05,0,1000,1,11076,0,4.0885e+05,0.0099153,1,5.236e-13,697.82,0,0.00062988,-0.19154,-0.35607,-0.90866,0.64857,-0.23348,-0.65813,0.49046,-0.15099,-0.065274
1,2590,-1,8,1e-05,0,1000,1,10902,0,4.0907e+05,0.00504,1,5.236e-13,695.51,0,0.00076281,-5.0971,0.52613,0.03798,48.516,2.8708,7.0434,0.51181,-0.14313,-0.054246
1,2743,-1,8,1e-05,0,1000,1,10855,0,4.089e+05,0.0047311,1,5.236e-13,694.87,0,0.00015712,4.4154,-1.7871,1.6819,57.259,1.9876,4.0663,0.51161,-0.14753,-0.016819
1,1038,-1,8,1e-05,0,1000,1,11031,0,4.0929e+05,0.0080155,1,5.236e-13,697.23,0,0.00012042,0.028931,0.090225,0.42015,51.283,-0.53651,7.6195,0.51221,-0.15092,-0.04527
1,2723,-1,8,1e-05,0,1000,1,10855,0,8.1792e+05,0.004783,1,5.236e-13,694.88,0,0.00050745,0.41051,0.44076,0.36116,57.244,3.8349,5.6347,0.51632,-0.14542,-0.039074
1,1926,-1,40,1e-05,0,1000,1,10987,0,4.0907e+05,0.0059874,1,5.236e-13,696.65,0,0.00017815,-0.30698,0.66501,-0.33826,53.15,4.4373,0.2586,0.51238,-0.14485,-0.014219
1,185,-1,8,1e-05,0,1000,1,11048,0,8.1806e+05,0.0096696,1,5.236e-13,697.46,0,0.00057893,1.9366,3.415,0.8891,54.277,6.8261,6.0497,0.51339,-0.14954,-0.034695
1,1818,-1,8,1e-05,0,1000,1,11013,0,8.1814e+05,0.00651,1,5.236e-13,697,0,0.00029256,-3.712,-4.2997,5.4078,46.347,0.30176,5.6624,0.50903,-0.15457,-0.0053395
1,568,-1,8,1e-05,0,1000,1,11043,0,8.1859e+05,0.0089211,1,5.236e-13,697.4,0,0.00022789,-0.0097544,0.020352,-0.0091417,55.186,2.2683,1.3358,0.50615,-0.14668,-0.01331
1,2857,-1,8,1e-05,0,1000,1,10812,0,4.0877e+05,0.0044813,1,5.236e-13,694.29,0,0.00013999,0.26171,-0.59319,-0.49965,48.448,-1.7266,2.3193,0.49794,-0.15271,-0.015745
1,2593,-1,8,1e-05,0,1000,1,10892,0,4.0907e+05,0.0050352,1,5.236e-13,695.37,0,0.001463,1.1825,0.31872,-0.502,57.774,1.7345,1.5929,0.50467,-0.14153,-0.011365
1,1216,-1,8,1e-05,0,1000,1,11033,0,8.1839e+05,0.0076946,1,5.236e-13,697.26,0,3.553e-05,-0.039697,-0.54272,0.33304,41.634,0.061396,8.3915,0.50362,-0.13906,-0.076495
1,2372,-1,8,1e-05,0,1000,1,10907,0,8.1814e+05,0.0054891,1,5.236e-13,695.57,0,0.00027103,-1.7435,-1.067,-1.3684,76.39,9.1593,3.6772,0.56374,-0.14004,-0.01752
1,2976,-1,8,1e-05,0,1000,1,10748,0,8.1728e+05,0.004235,1,5.236e-13,693.42,0,0.0012258,1.5881,1.4822,-0.91301,57.644,1.2589,1.5153,0.49767,-0.14005,-0.026156
1,1821,-1,8,1e-05,0,1000,1,10941,0,8.1814e+05,0.006505,1,5.236e-13,696.04,0,8.3304e-05,-1.3024,-0.57561,0.66341,84.372,15.995,11.288,0.59056,-0.13711,-0.035057
1,324,-1,8,1e-05,0,1000,1,10915,0,8.1832e+05,0.0093904,1,5.236e-13,695.69,0,0.00016597,0.13912,-0.69111,-1.5638,0.7688,-0.39064,-0.61983,0.28125,-0.082233,-0.099453
1,690,-1,8,1e-05,0,1000,1,10938,0,4.0937e+05,0.0086562,1,5.236e-13,695.99,0,0.00016991,0.51383,5.5707,-5.0666,6.1422,3.8417,-3.2634,0.24091,-0.11482,-0.058352
1,788,-1,8,1e-05,0,1000,1,10926,0,8.1858e+05,0.008471,1,5.236e-13,695.83,0,0.00018149,2.2983,-2.3714,-0.54887,37.215,-1.9084,-0.62818,0.3034,-0.019181,-0.12572
1,789,-1,8,1e-05,0,1000,1,10932,0,8.1858e+05,0.0084696,1,5.236e-13,695.91,0,0.00030109,-0.29201,-1.2069,-1.6867,7.3333,0.17164,-1.0689,0.28424,-0.063483,-0.11207
1,1404,-1,8,1e-05,0,1000,1,10921,0,4.0907e+05,0.0072942,1,5.236e-13,695.76,0,0.00069547,0.12761,0.052392,-0.10818,16.388,-0.23641,0.07919,0.26972,-0.038905,-0.12206
1,1489,-1,8,1e-05,0,1000,1,10890,0,4.0907e+05,0.0071241,1,5.236e-13,695.35,0,2.8709e-05,0.87016,-1.0484,-2.0125,21.567,-0.89779,1.4547,0.2879,-0.12027,-0.04482
1,1516,-1,8,1e-05,0,1000,1,10910,0,4.0907e+05,0.0070785,1,5.236e-13,695.62,0,0.00018383,0.043708,0.63338,0.17521,4.5121,0.16642,0.77657,0.25745,-0.069964,-0.10816
1,1681,-1,8,1e-05,0,1000,1,10904,0,4.0907e+05,0.0067937,1,5.236e-13,695.54,0,0.00060409,-0.071424,-2.4605,1.5954,-0.065123,-1.1505,2.1943,0.22162,-0.11433,-0.059786
1,1867,-1,8,1e-05,0,1000,1,10891,0,4.0907e+05,0.0064245,1,5.236e-13,695.36,0,0.00054198,-1.0851,-0.085653,-0.37904,-0.049468,-0.09478,0.30575,0.22668,-0.026138,-0.12632
1,1889,-1,8,1e-05,0,1000,1,10893,0,4.0907e+05,0.0063787,1,5.236e-13,695.39,0,3.9794e-05,1.2314,3.7726,0.92391,50.166,-4.1301,3.2867,0.31863,-0.10035,-0.07915
1,1895,-1,8,1e-05,0,1000,1,10889,0,8.1814e+05,0.0063501,1,5.236e-13,695.34,0,0.00011682,-0.43561,0.98525,0.29761,10.928,1.7397,0.025176,0.27899,-0.020968,-0.12692
1,2103,-1,8,1e-05,0,1000,1,10843,0,4.0907e+05,0.0059526,1,5.236e-13,694.71,0,0.00041395,0.1558,0.25683,0.34779,7.4355,-0.40553,0.66046,0.28934,-0.081463,-0.099705
1,2191,-1,8,1e-05,0,1000,1,10920,0,8.1814e+05,0.0057992,1,5.236e-13,695.74,0,0.00022128,0.29834,-1.577,-2.0433,15.155,-1.6105,-1.7648,0.2871,-0.12855,-0.0056172
1,2389,-1,8,1e-05,0,1000,1,10858,0,8.1814e+05,0.005442,1,5.236e-13,694.92,0,5.2372e-05,-1.2261,0.14906,1.9407,18.769,3.1659,3.4174,0.22485,-0.017986,-0.1267
1,2464,-1,8,1e-05,0,1000,1,10828,0,8.1814e+05,0.0052884,1,5.236e-13,694.51,0,0.00037925,5.8893,-1.5508,1.3656,15.842,-1.5041,1.1464,0.29954,-0.044959,-0.12052
1,2523,-1,8,1e-05,0,1000,1,10838,0,4.0907e+05,0.0051608,1,5.236e-13,694.64,0,9.3871e-05,6.1892,-2.4257,-0.0446,19.246,-4.0319,1.1041,0.30507,-0.10687,-0.072229
1,2644,-1,8,1e-05,0,1000,1,10788,0,4.0902e+05,0.0049486,1,5.236e-13,693.97,0,0.00029092,0.17106,-0.21663,0.14955,6.2114,-0.89417,0.86273,0.22513,-0.089539,-0.092618
1,2697,-1,8,1e-05,0,1000,1,10788,0,8.1792e+05,0.0048258,1,5.236e-13,693.96,0,0.00016301,-1.1249,-3.0956,1.2744,22.169,-2.5749,2.3767,0.2909,-0.12577,-0.02596
1,2726,-1,8,1e-05,0,1000,1,10764,0,8.1792e+05,0.0047759,1,5.236e-13,693.63,0,0.00037385,-0.28481,-0.23431,0.15857,23.453,-1.2223,1.6485,0.31519,-0.12559,-0.027728
1,2825,-1,8,1e-05,0,1000,1,10760,0,8.1768e+05,0.0045775,1,5.236e-13,693.57,0,0.00060451,-0.13839,-0.050777,-0.028225,7.9039,-0.76397,0.81761,0.25223,-0.095576,-0.086342
1,2896,-1,8,1e-05,0,1000,1,10709,0,8.1741e+05,0.0043984,1,5.236e-13,692.88,0,3.1551e-05,0.25027,-0.83116,-1.4543,13.93,0.82536,3.1537,0.29749,-0.12206,-0.039568
