,Point:0,Point:1,Point:2,T
0,0.6996899999999999,0.10818,0.031932999999999996,675.74
1,2.4843,0.0068062,-0.02072,352.16
2,0.75229,0.07720700000000001,0.0077150000000000005,678.66
3,4.3679,0.0032796,-0.030869999999999998,272.04
4,0.26744,0.036479000000000004,-0.0050701999999999995,665.54
5,1.7099,0.010532,-0.037915,405.96
6,0.37631,-0.075458,0.059087,687.74
7,3.5426,-0.021866999999999998,-0.012165,295.21
8,3.2496,0.00099832,0.037924,303.17
9,0.5249,0.12913,-0.029507,694.32
10,3.9328,0.045777,0.010034999999999999,283.07
11,0.48815,0.12319000000000001,0.01037,693.98
12,1.6995,-0.0022914999999999997,-0.030177999999999996,444.95
13,0.8380700000000001,0.06493099999999999,0.027139999999999997,641.36
14,0.6330399999999999,0.10192999999999999,0.02471,694.74
15,2.6189,-0.029013,-0.027922000000000002,332.64
16,3.8415,-0.085914,-0.011809,279.18
17,3.8478,-0.077057,-0.016692,279.78
18,3.8624,-0.074681,-0.010573,278.92
19,1.8896,-0.0085291,-0.029274,422.36
20,0.79613,0.054421000000000004,0.051275,674.73
21,0.6079600000000001,0.097535,0.040207,695.77
22,0.53815,-0.011363,0.0029374,697.93
23,4.032,-0.020022,0.045343,279.26
24,2.4873,0.00065785,0.0026033000000000002,354.77
25,4.0312,0.019558000000000002,-0.015491999999999999,282.93
26,1.39,-0.0023689,0.034664,476.05
27,2.9960000000000004,0.062065999999999996,0.038513,303.65
28,2.9973,0.040589,0.026151999999999998,310.06
29,3.0052,0.051265,0.032413,305.82
30,0.51679,-0.15266,0.04987,697.46
31,3.9508,0.043924,-0.033665,277.15
32,0.40943,0.07081900000000001,-0.090695,688.85
33,0.72401,-0.055463,-0.08723,686.37
34,0.32739,0.07447000000000001,-0.09278,676.08
35,3.7832,-0.024189,-0.034987,284.72
36,3.7778,-0.035979000000000004,-0.035504,282.95
37,3.7753,-0.04873,-0.035399,283.61
38,0.43425,-0.08956900000000001,0.035561,690.52
39,3.9462,0.042637,-0.0077706,282.02
40,2.2568,0.010648999999999999,-0.02364,374.43
41,2.8339999999999996,0.006659600000000001,0.054136000000000004,313.37
42,2.158,0.049927,0.023135,356.97
43,2.4290000000000003,0.032376,0.0064811999999999995,351.25
44,0.5974,0.13451,0.037064,695.37
45,0.60417,-0.058847000000000003,0.11954000000000001,695.08
46,1.9313,0.044703,0.006231800000000001,384.25
47,0.52112,0.006627600000000001,-0.12314000000000001,695.95
48,4.7139999999999995,0.018361000000000002,0.014985,267.62
49,4.7329,0.016267,0.018338999999999998,267.33
50,4.7264,0.00033703,0.020659,267.99
51,1.1593,-0.03622,-0.006877299999999999,595.55
52,3.9241,-0.029338999999999997,0.013671,284.52
53,1.5686,-0.015216,-0.040378,439.71
54,0.66093,0.049888,-0.081865,694.49
55,3.9277,0.020727000000000002,0.015113,284.49
56,0.23356,-0.019444,-0.05385499999999999,647.64
57,0.2431,0.045556,-0.017737,653.48
58,0.30538000000000004,-0.02343,-0.018631,671.89
59,0.72567,0.034233,-0.085995,687.77
60,0.26289,0.07069,-0.092709,659.36
61,4.0904,-0.028388999999999998,0.020342,279.98
62,1.6714,-0.015430000000000001,-0.031306,463.27
63,0.8377,-0.042317,0.028836,664.16
64,0.51578,-0.13249,-0.030170999999999996,694.49
65,0.5827100000000001,0.13714,0.055351,696.3
66,0.2573,-0.10962000000000001,-0.014309,658.27
67,1.2783,0.020925,-0.022579,567.34
68,3.8579,-0.05511799999999999,-0.0063178999999999996,282.52
69,0.41818,0.12225,-0.0042263000000000005,686.64
70,3.6432,-0.014609,0.0072992000000000005,292.31
71,0.44735,0.02423,-0.028870999999999997,691.93
72,4.5963,0.015604,0.021707,269.58
73,3.3164,0.032508999999999996,0.042226,296.55
74,0.42248,0.036485000000000004,-0.0039788,689.59
75,1.0313,0.034587,0.033957999999999995,559.95
76,1.9775,-0.033781,0.021561,394.49
77,2.5596,-0.020171,-0.0098376,342.01
78,2.4444,-0.039997000000000005,0.013461,340.58
79,0.44193000000000005,-0.019333000000000003,0.13573,690.5
80,2.1085,0.011319,-0.018618,394.46
81,0.47013,-0.049987000000000004,-0.036118,692.26
82,3.2723,0.010735,0.031299,302.45
83,3.6715,-0.0051787,-0.014497,292.12
84,0.53237,0.050212,-0.093331,695.95
85,0.21166999999999997,0.01555,-0.11634000000000001,630.45
86,2.7098,0.033202999999999996,0.0094321,330.99
87,3.4257,-0.0069101,0.016478,296.8
88,0.31138000000000005,0.084288,-0.03299,674.65
89,3.9198,-0.009998,-0.016755000000000003,285.24
90,4.6485,-0.08658099999999999,-0.025468,262.66
91,4.6303,-0.085066,-0.013202,261.95
92,4.3299,0.043813,0.041491,273.28
93,4.5344,0.012824,0.0068333,270.22
94,2.4775,0.0035561,-0.045025,336.17
95,2.6708,8.263799999999999e-05,0.0056827,339.1
96,1.1171,-0.032949,0.0050062,620.81
97,0.45802,0.060675,0.12038,691.56
98,1.6211,0.012618,-0.019383,490.61
99,3.7568,-0.031966,-0.0020622,287.32
100,3.2515,-0.024428000000000002,-0.0028959,304.97
101,3.2489999999999997,-0.041199,0.0081718,302.42
102,3.2454,-0.024421,0.0013911,304.53
103,0.77796,0.07321799999999999,-0.009864399999999999,678.42
104,1.7069,0.031114999999999997,0.0033494999999999996,471.11
105,0.18907000000000002,-0.029404000000000003,0.015921,612.09
106,0.18467999999999998,-0.032615,0.01826,606.94
107,0.17929,-0.028738,0.034391000000000005,600.27
108,0.2346,0.04154,0.12195,686.99
109,3.5567,-0.009074700000000002,-0.024746,293.93
110,3.9989999999999997,0.0041378,-0.046615,278.95
111,3.3201,-0.0037363,-0.058941999999999994,294.53
112,2.1105,0.038812,-0.0094122,376.8
113,1.5003,-0.013884,-0.03584,491.22
114,1.8764,-0.021501,0.008487799999999998,434.89
115,0.71507,-0.08707899999999999,-0.06300399999999999,676.89
116,0.21978000000000003,-0.032501999999999996,0.092622,641.94
117,0.65193,-0.020274,-0.12478,693.35
118,2.9793,-0.00093657,0.056972,309.81
119,1.8677,-0.026731,0.041429,391.76
120,0.9554,0.053427999999999996,0.025274,519.03
121,0.30438000000000004,0.12097000000000001,-0.011368000000000001,672.58
122,0.1837,-0.0056503,-0.044405,606.61
123,2.4633,0.020811,0.030331999999999998,341.95
124,4.2251,0.026660000000000003,-0.019018,277.01
125,0.5453,0.043538,-0.05966799999999999,696.76
126,3.3045,0.0096881,-0.017988,303.8
127,0.33736,-0.017575,-0.0015427,678.04
