"Index","Points:0","Points:1","Points:2","T"
71671,0.20342000000000002,0.056883,0.11573,668.68
72186,0.20139,0.062925,0.11,628.73
72223,0.20009000000000002,0.033020999999999995,0.11149,622.17
72231,0.19877999999999998,0.053859000000000004,0.10349000000000001,620.24
72232,0.1972,0.060541,0.10989000000000002,620.82
72244,0.19692,0.040415,0.11145,619.2
72245,0.19704000000000002,0.020912,0.11069000000000001,619.39
72259,0.18954000000000001,0.0335,0.12451,620.58
72270,0.19346,0.025307,0.11027,616.09
72294,0.18723,0.058447000000000006,0.11470999999999999,613.39
20988,0.20146,0.064338,-0.025172999999999997,630.86
21004,0.20235999999999998,0.07927000000000001,-0.015005000000000001,628.59
21012,0.20296,0.06452000000000001,-0.034257,627.48
21029,0.20071,0.068763,-0.046247,624.23
21032,0.20121,0.052463,-0.035776,623.51
21043,0.19858,0.06316000000000001,-0.033460000000000004,623.46
21046,0.19627999999999998,0.06191900000000001,-0.018675999999999998,623.32
21067,0.19205,0.071117,-0.025835000000000004,620.43
21080,0.19296,0.079233,-0.019818000000000002,618.11
21095,0.1914,0.072287,-0.044266,615.09
71879,0.19755999999999999,0.09122899999999999,0.090539,659.1
72204,0.20297,0.066518,0.089666,624.19
72209,0.20249,0.071728,0.06640599999999999,623.96
72211,0.20215999999999998,0.06591,0.084127,624.03
72220,0.20125,0.070103,0.081246,622.97
72222,0.20081,0.067288,0.096702,621.93
72227,0.19932,0.09150599999999999,0.060215,621.32
72237,0.19791,0.07720700000000001,0.08609,619.84
72257,0.1932,0.094901,0.08352799999999999,619.16
72275,0.19249000000000002,0.082389,0.089087,614.88
21041,0.19976,0.030448000000000003,-0.057747,621.78
21060,0.19663,0.068527,-0.058017,619.65
21062,0.19489,0.048927,-0.06267400000000001,619.5
21063,0.19617,0.038926,-0.040098,618.87
21068,0.19521,0.037881,-0.053607,618.25
21072,0.19499,0.034804,-0.056167999999999996,617.65
21073,0.19488,0.026822000000000002,-0.045261,617.44
21074,0.19460999999999998,0.058423,-0.053565999999999996,617.51
21088,0.19249000000000002,0.052141,-0.054440999999999996,614.9
21092,0.19227,0.040806999999999996,-0.040261,614.78
1698,0.20073,-0.082415,-0.027335,627.93
1714,0.20135999999999998,-0.066316,-0.06218200000000001,624.74
1716,0.20092000000000002,-0.097827,-0.044095999999999996,624.58
1733,0.19844,-0.089729,-0.043176,622.08
1738,0.1986,-0.063463,-0.057022,621.41
1741,0.19879000000000002,-0.068229,-0.051664,620.27
1744,0.19551,-0.085901,-0.031545,622.13
1752,0.19705999999999999,-0.074802,-0.043397000000000005,619.74
1772,0.19197999999999998,-0.089782,-0.031657,618.17
1786,0.19275,-0.071997,-0.05770499999999999,615.96
49650,0.19368,-0.12515,0.030973,645.02
49814,0.20158,-0.099592,0.020028,623.87
49819,0.20075,-0.088242,0.01469,623.46
49821,0.20014,-0.08321,0.010298999999999999,623.98
49827,0.19938,-0.08291699999999999,0.01004,623.29
49845,0.1968,-0.11052000000000001,0.016093,619.47
49846,0.19699999999999998,-0.11765999999999999,0.020621,618.92
49858,0.19395,-0.10377,0.033081,618.39
49867,0.19304000000000002,-0.091126,0.018305000000000002,615.72
49893,0.18982000000000002,-0.1047,0.029838,612.9
1669,0.20319,-0.0043603,-0.062706,631.27
1688,0.2031,-0.007558499999999999,-0.060578999999999994,629.23
1720,0.2006,-0.016941,-0.08004,622.78
1723,0.19856,-0.010336,-0.059864,623.29
1780,0.19179000000000002,-0.008335500000000001,-0.075846,616.64
1788,0.19072999999999998,-0.009626000000000001,-0.069592,616.15
1819,0.18748,-0.013975,-0.078001,610.38
21052,0.19834000000000002,0.017636000000000002,-0.05701900000000001,620.5
21056,0.19652999999999998,0.015172,-0.089317,621.37
21064,0.1967,0.011077,-0.066078,618.54
49129,0.19233,-0.10687999999999999,0.072257,682.5
49776,0.2017,-0.091399,0.087065,628.69
49804,0.19638,-0.10909,0.06695599999999999,627.23
49807,0.20313,-0.088908,0.069656,624.34
49808,0.1928,-0.11924000000000001,0.048438,627.6
49813,0.19196,-0.11542000000000001,0.05706,626.71
49824,0.20101,-0.094332,0.058573,622.6
49839,0.19738,-0.1083,0.062292999999999994,620.28
49844,0.19743,-0.11064,0.047164,619.32
49848,0.19626,-0.10372,0.06884900000000001,618.33
1700,0.20273,-0.035717,-0.035745,627.82
1706,0.20348,-0.044922000000000004,-0.021384999999999998,626.62
1711,0.20085,-0.046787999999999996,-0.047108,626.81
1721,0.19838,-0.049884,-0.032986,623.73
